"municipio";"cod_ibge";"nome_meso";"nome_micro";"count"
"";"2900504";"Centro Sul Baiano";"Livramento do Brumado";"1"
"";"2900702";"Nordeste Baiano";"Alagoinhas";"1"
"";"2902054";"Nordeste Baiano";"Alagoinhas";"1"
"";"2902708";"Vale São-Franciscano da Bahia";"Barra";"1"
"";"2903300";"Sul Baiano";"Ilhéus-Itabuna";"1"
"";"2903904";"Vale São-Franciscano da Bahia";"Bom Jesus da Lapa";"1"
"";"2904100";"Centro Sul Baiano";"Boquira";"1"
"";"2904753";"Vale São-Franciscano da Bahia";"Barra";"1"
"";"2905909";"Vale São-Franciscano da Bahia";"Juazeiro";"1"
"";"2907103";"Vale São-Franciscano da Bahia";"Bom Jesus da Lapa";"1"
"";"2907202";"Vale São-Franciscano da Bahia";"Juazeiro";"1"
"";"2907509";"Metropolitana de Salvador";"Catu";"1"
"";"2908101";"Extremo Oeste Baiano";"Santa Maria da Vitória";"1"
"";"2909109";"Extremo Oeste Baiano";"Santa Maria da Vitória";"1"
"";"2909307";"Extremo Oeste Baiano";"Santa Maria da Vitória";"1"
"";"2909901";"Vale São-Franciscano da Bahia";"Juazeiro";"1"
"";"2910107";"Centro Sul Baiano";"Livramento do Brumado";"1"
"";"2910776";"Vale São-Franciscano da Bahia";"Bom Jesus da Lapa";"1"
"";"2912103";"Sul Baiano";"Ilhéus-Itabuna";"1"
"";"2913408";"Centro Sul Baiano";"Guanambi";"1"
"";"2915502";"Sul Baiano";"Ilhéus-Itabuna";"1"
"";"2916401";"Centro Sul Baiano";"Itapetinga";"1"
"";"2917102";"Centro Sul Baiano";"Itapetinga";"1"
"";"2917359";"Extremo Oeste Baiano";"Santa Maria da Vitória";"1"
"";"2918407";"Vale São-Franciscano da Bahia";"Juazeiro";"1"
"";"2918555";"Sul Baiano";"Ilhéus-Itabuna";"1"
"";"2919702";"Centro Sul Baiano";"Itapetinga";"1"
"";"2919900";"Vale São-Franciscano da Bahia";"Paulo Afonso";"1"
"";"2921906";"Centro Sul Baiano";"Seabra";"1"
"";"2923035";"Centro Sul Baiano";"Boquira";"1"
"";"2923209";"Centro Sul Baiano";"Boquira";"1"
"";"2923704";"Vale São-Franciscano da Bahia";"Bom Jesus da Lapa";"1"
